Id,Project,ReporterGroup,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Projection,Category,Date Submitted,ETA,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version,Duplicate Id,Check In Date,Comments,Plan to fix,test,Owner Leader
0009301,T11A, ,anqiang,zhaoyanjun,high,major,always,T11-t11-20120907.0457-user,none,voice call,2012-09-10,none,,,,public,2012-09-20,[customer][voice call]终端无归属地功能,assigned,open,,0000000,,,,,
0009067,ATgingerbread G01 DualSIM,QAAS,gaoyuan,jmxu,high,major,sometimes,,none,UI,2012-09-03,none,,,,public,2012-09-20,[UI] camera摄像后back键返回桌面出现半屏现象,assigned,fixed,,0000000,2012-09-13,,,,
0007911,T11A, ,zhaoxin,wangxiaohong,high,major,sometimes,T11-t11-20120731.0359-user,none,Camera,2012-07-31,none,,,,public,2012-09-20,[Camera]刚进入camera时，后置摄像头预览界面部分闪烁花屏,assigned,fixed,,0000000,2012-09-07,,,,
0009668,ATgingerbread G01 DualSIM,QASZ,lingfu,jli,high,major,random,,none,APK,2012-09-20,none,,,,public,2012-09-20,在开讯视频里突然黑屏，点power键不亮，长按进入开机状态,assigned,open,,0000000,,,,,
0009650,ATgingerbread G01 DualSIM,QADL,liuguifang,guozhengqin,high,major,random,,none,APK,2012-09-19,none,,,,public,2012-09-20,[APK]保存录音文件时提示“无法保存录制的音频”“保存失败”,assigned,open,,0000000,,,,,
0009639,ATgingerbread A520 DualSIM,QADL,donglide,cpeng,high,major,always,ATgingerbread-customer-8.31-A520-a520-20120919.0327-user,none,GPS,2012-09-19,none,,,,public,2012-09-20,【GPS】A520搜星能力差。,assigned,open,,0000000,,,,,
0005396,ATgingerbread G01 DualSIM,QADL,zhangchanglong,jli,high,minor,always,gingerbread-G01-g01-20120409.0406-user,none,FM Radio,2012-04-09,none,,,,public,2012-09-20,[Daily][FM]FM音量最小时声音不正常,assigned,open,,0000000,,,,,
0008823,T11A,QAAS,wangxiaole,luoweizhang,high,major,random,T11-t11-20120824.0201-user,none,System,2012-08-24,none,,,,public,2012-09-20,[System]power键唤醒手机后，无法解锁,assigned,open,,0000000,,,2012-10-15,,
0008257,T11A,QAAS,zhangying,jli,high,major,random,T11-t11-20120809.0200-user,none,System,2012-08-09,none,,,,public,2012-09-20,【System】在打开USB连接后手机死屏,assigned,unable to reproduce,,0000000,,,,,
0009626,T11A,QAAS,zhengchunyue,jli,high,minor,random,T11-t11-20120919.0629-user,none,System,2012-09-19,none,,,,public,2012-09-20,【System】充电过程中无法唤醒，唤醒后无法解锁,assigned,open,,0000000,,,,,
0008893,T11A,QAAS,wangxiaole,guoguangyi,high,major,random,T11-t11-20120827.0329-user,none,System,2012-08-27,none,,,,public,2012-09-20,[System]播放音乐，插入USB线出现死机,assigned,open,,0000000,,,,,
0009394,T11A,QAAS,panyuwei,jli,high,major,random,T11-t11-20120911.0551-user,none,Default APK,2012-09-12,none,,,,public,2012-09-20,【7700】【Default APK】打开USB存储设备，手机死屏，并自动关机,assigned,open,,0000000,,,,,
0009277,ATgingerbread G01 DualSIM,QADL,zhengchunyue,zhangsong,high,major,random,,none,System,2012-09-10,none,,,,public,2012-09-20,【Overnight】【System】发现手机为关机充电的状态，之前为开机充电的状态,assigned,open,,0000000,,,,,
0009018,T11A,QABJ,wangyan,guoguangyi,high,major,sometimes,T11-t11-20120830.0332-user,none,Multimedia,2012-08-31,none,,,,public,2012-09-20,【overnight】播放MP4过程中死机,assigned,open,,0000000,,,,,
0007655,ICS-G01,QADL,liangyang,liuyong,high,major,sometimes,ics.4-g01-20120719.0116-user,none,APK,2012-07-19,none,,,,public,2012-09-19,[Daily][APK]安装水果忍者（版本1.5.4），游戏结束时画面显示时间到，卡屏，大约5s出现无响应,assigned,open,,0000000,2012-08-20,,2012-09-07,,
0009649,ATgingerbread G01 DualSIM, ,lianglizhen,jli,high,major,random,customer-8.31-G01-g01-20120919.0246,none,System,2012-09-19,none,,,,public,2012-09-19,[system]开机后点击home、back出现UI重启。,assigned,open,,0000000,,,,,
0009648,ATgingerbread G01 DualSIM, ,lianglizhen,jli,high,major,random,customer-8.31-G01-g01-20120919.0246,none,System,2012-09-19,none,,,,public,2012-09-19,[setting]在设置里进行操作时出现无响应，黑屏。,assigned,open,,0000000,,,,,
0009261,ATgingerbread G01 DualSIM,QADL,gaoyang,zhangsong,high,major,sometimes,customer-8.31-G01-g01-20120904.0331,none,CTP,2012-09-08,none,,,,public,2012-09-19,[CTP] 睡眠后立刻唤醒手机解锁，需滑动屏幕两次或以上才能解锁,assigned,open,,0000000,2012-09-18,,,,
0009644,T11A,QAAS,gaoyuan,jli,high,major,random,T11-t11-20120917.0624-user,none,System,2012-09-19,none,,,,public,2012-09-19,[browser] 浏览网页2个小时，出现浏览器无响应，之后死屏，只有power键好用，等待10分钟长按8s关机,assigned,open,,0000000,,,,,
0009627,ATgingerbread A520 DualSIM,QABJ,zhouqinglan,jli,high,major,random,,none,System,2012-09-19,none,,,,public,2012-09-19,【Overnight】【System】后台听音乐，安装APK过程中，返回Idle界面，出现无响应现象，关机时出现android界面，5-6s后才关机,assigned,open,,0000000,,,,,
0009638,T11A,QAAS,zhengchunyue,jli,high,major,random,T11-t11-20120919.0629-user,none,System,2012-09-19,none,,,,public,2012-09-19,【System】进入到管理应用界面，长按power键手机自动关机,assigned,open,,0000000,,,,,
0009640,T11A,QAAS,muxiaoli,jli,high,major,random,T11-t11-20120919.0629-user,none,System,2012-09-19,none,,,,public,2012-09-19,[System]给座机拨打电话时手机死机,assigned,open,,0000000,,,,,
0009642,T11A,QAAS,muxiaoli,jli,high,major,always,T11-t11-20120919.0629-user,none,System,2012-09-19,none,,,,public,2012-09-19,[System]运行ShadowGun_v1_10.apk游戏过程中手机死屏，1分钟左右死机,assigned,open,,0000000,,,,,
